                  "ZONE" Zones

Date: 5/13/2021 1:26:37 AM

Well         Zone_Name        Top        Bottom    
3402920607   Kope             6845       7638.5    
3402920607   UTICA            7638.5     7928.5        
3402920607   Trenton          7928.5     8072      
3402921476   Kope             7262.5     7942      
3402921476   UTICA            7942       8238.5         
3402921476   Trenton          8238.5     8388      
3401922045   Kope             5721.5     6393.5    
3401922045   Utica            6393.5     6677         
3401922045   Trenton          6677       6797.5    
3700720307   Kope             8223.5     8945      
3700720307   UTICA            8945       9219.5       
3700720307   Trenton          9219.5     9368      
